Presynaptic Neuron Type,Postsynaptic Neuron Type,gsyn_max,tau_d,tau_r,tau_f,Uinc
 DG Semilunar Granule,DG Axo-axonic GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Basket,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Basket GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG COM-MOPP,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG HICAP,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Interneuron Specific IMOT,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Hilus-Associated Interneuron,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Interneuron Specific HIMOLD,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG HIPP,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Recurrent HIPP,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Recurrent HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Interneuron Specific HIPRO,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG HIPROM,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Ivy,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG MOCAP,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG MOLAX,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Outer Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Total Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,DG Wide-Arbor Neurogliaform,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Pyramidal,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3c Pyramidal,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3c Umbrella Pyramidal,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Basket,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Mossy Fiber-Associated Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Bistratified,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Ivy,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Bilayer Ivy,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 LMR-Targeting,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Lucidum,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Lucidum LAX,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Lucidum ORAX,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Lucidum-Radiatum,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Spiny Lucidum,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Mossy Fiber-Associated,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Mossy Fiber-Associated ORDEN,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 Interneuron Specific Quad,1.58,6.12,556.15,28.22,0.2
 DG Semilunar Granule,CA3 QuadD-LM,1.58,6.12,556.15,28.22,0.2
 DG Cajal-Retzius,DG Granule,1.58,6.12,556.15,28.22,0.2
 DG Local-Projecting Cajal-Retzius,DG Granule,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Adult-Born Immature Granule,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Hilar Ectopic Granule,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Semilunar Granule,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Mossy MOLDEN,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG AIPRIM,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Granulosum-targeting Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Axo-axonic GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Basket,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Basket GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG COM-MOPP,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Interneuron Specific IMOT,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Hilus-Associated Interneuron,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Interneuron Specific HIMOLD,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Recurrent HIPP,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Recurrent HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Interneuron Specific HIPRO,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG HIPROM,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Ivy,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG MOCAP,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG MOLAX,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Outer Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Total Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Mossy,DG Wide-Arbor Neurogliaform,1.58,6.12,556.15,28.22,0.2
 DG Mossy,CA3 Interneuron Specific Quad,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Granule,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Adult-Born Immature Granule,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Hilar Ectopic Granule,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Semilunar Granule,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Mossy,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Mossy MOLDEN,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG AIPRIM,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Granulosum-targeting Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Axo-axonic GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Basket,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Basket GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG COM-MOPP,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG HICAP,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Interneuron Specific IMOT,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Hilus-Associated Interneuron,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Interneuron Specific HIMOLD,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG HIPP,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Recurrent HIPP,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Recurrent HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Interneuron Specific HIPRO,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG HIPROM,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Ivy,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG MOCAP,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG MOLAX,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Outer Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Total Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,DG Wide-Arbor Neurogliaform,1.58,6.12,556.15,28.22,0.2
 DG Mossy MOLDEN,CA3 Interneuron Specific Quad,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Granule,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Adult-Born Immature Granule,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Hilar Ectopic Granule,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Semilunar Granule,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Mossy,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Mossy MOLDEN,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG AIPRIM,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Granulosum-targeting Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Axo-axonic GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Basket,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Basket GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG COM-MOPP,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG HICAP,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Interneuron Specific IMOT,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Hilus-Associated Interneuron,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Interneuron Specific HIMOLD,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG HIPP,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Recurrent HIPP,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Recurrent HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Interneuron Specific HIPRO,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG HIPROM,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Ivy,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG MOCAP,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG MOLAX,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Outer Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Total Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,DG Wide-Arbor Neurogliaform,1.58,6.12,556.15,28.22,0.2
 DG AIPRIM,CA3 Interneuron Specific Quad,1.58,6.12,556.15,28.22,0.2
 DG Axo-axonic,DG Adult-Born Immature Granule,1.58,6.12,556.15,28.22,0.2
 DG Axo-axonic,DG Hilar Ectopic Granule,1.58,6.12,556.15,28.22,0.2
 DG Axo-axonic,DG Mossy MOLDEN,1.58,6.12,556.15,28.22,0.2
 DG Granulosum-targeting Axo-axonic,DG Granule,1.58,6.12,556.15,28.22,0.2
 DG Axo-axonic GRALDEN,DG Granule,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG Adult-Born Immature Granule,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG Granulosum-targeting Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG Axo-axonic GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG Basket GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG Interneuron Specific IMOT,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG Interneuron Specific HIMOLD,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG HIPP,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG Interneuron Specific HIPRO,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG Ivy,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG MOLAX,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG Outer Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Basket,DG Total Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Basket GRALDEN,DG Granule,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG Adult-Born Immature Granule,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG Granulosum-targeting Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG Axo-axonic GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG Basket GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG HICAP,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG Interneuron Specific IMOT,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG Interneuron Specific HIMOLD,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG HIPP,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG HIPP-CAP,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG Interneuron Specific HIPRO,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG Ivy,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG MOLAX,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG Outer Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG Basket CCK+,DG Total Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG COM-MOPP,DG Granule,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Adult-Born Immature Granule,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Hilar Ectopic Granule,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Semilunar Granule,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Mossy MOLDEN,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG AIPRIM,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Granulosum-targeting Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Axo-axonic GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Basket GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG COM-MOPP,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Interneuron Specific IMOT,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Interneuron Specific HIMOLD,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Interneuron Specific HIPRO,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG HIPROM,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Ivy,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG MOCAP,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG MOLAX,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Outer Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Total Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG HICAP,DG Wide-Arbor Neurogliaform,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Adult-Born Immature Granule,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Hilar Ectopic Granule,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Semilunar Granule,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Cajal-Retzius,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Local-Projecting Cajal-Retzius,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Mossy MOLDEN,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG AIPRIM,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Granulosum-targeting Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Axo-axonic GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Basket GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Interneuron Specific COLTAR,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG COM-MOPP,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG HICAP,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Interneuron Specific IMOT,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Interneuron Specific HIMOLD,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Interneuron Specific HIPRO,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG MOLAX,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Outer Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Total Molecular Layer,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG MOPP,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Neurogliaform,1.58,6.12,556.15,28.22,0.2
 DG HIPP,DG Wide-Arbor Neurogliaform,1.58,6.12,556.15,28.22,0.2
 DG HIPP,CA1 Neurogliaform Projecting,1.58,6.12,556.15,28.22,0.2
 DG Recurrent HIPP,DG Granule,1.58,6.12,556.15,28.22,0.2
 DG HIPP-CAP,DG Granule,1.58,6.12,556.15,28.22,0.2
 DG Recurrent HIPP-CAP,DG Granule,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Adult-Born Immature Granule,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Hilar Ectopic Granule,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Semilunar Granule,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Cajal-Retzius,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Local-Projecting Cajal-Retzius,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Mossy,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Mossy MOLDEN,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG AIPRIM,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Granulosum-targeting Axo-axonic,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Axo-axonic GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Basket,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Basket GRALDEN,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Basket CCK+,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Interneuron Specific COLTAR,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG COM-MOPP,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG HICAP,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Interneuron Specific IMOT,1.58,6.12,556.15,28.22,0.2
 DG HIPROM,DG Hilus-Associated Interneuron,1.58,6.12,556.15,28.22,0.2
